Timestamp,Are you able to recognize the component indicated in each instruction?,Are you able to understand the action indicated in each instruction?,Are the instructions simple and to the point? ,Are the transitions between the instructions smooth?,How confident are you in using the product after using the app?
7/12/2022 22:53:24,Yes,Yes,Yes,No,4
7/12/2022 22:59:24,Yes,Yes,Yes,Yes,5
7/12/2022 23:02:40,No,Yes,Yes,Yes,3
7/12/2022 23:12:29,No,No,Yes,Yes,3
7/13/2022 0:11:07,Yes,Yes,Yes,Yes,5
7/13/2022 0:11:51,Yes,Yes,Yes,Yes,5
7/13/2022 0:12:04,No,Yes,Yes,No,4
7/13/2022 8:12:38,No,Yes,Yes,Yes,3
7/13/2022 8:18:50,No,Yes,Yes,No,3
7/13/2022 8:19:14,Yes,Yes,Yes,Yes,4
7/13/2022 8:19:45,No,No,Yes,Yes,3
7/13/2022 8:22:11,Yes,Yes,Yes,Yes,4
7/13/2022 8:22:27,No,Yes,Yes,No,3
7/13/2022 8:22:59,Yes,Yes,Yes,Yes,3
7/13/2022 8:23:22,Yes,Yes,Yes,Yes,4
7/15/2022 16:41:00,Yes,Yes,Yes,Yes,5
7/15/2022 16:41:18,Yes,No,Yes,Yes,4
7/15/2022 16:41:39,Yes,No,Yes,Yes,5
7/15/2022 16:42:21,Yes,Yes,Yes,No,5
7/15/2022 16:42:39,Yes,Yes,Yes,Yes,5
7/15/2022 16:43:11,No,Yes,Yes,Yes,5
7/15/2022 16:43:32,Yes,Yes,Yes,Yes,5
7/15/2022 16:43:54,No,No,Yes,Yes,4
7/15/2022 16:44:47,No,Yes,Yes,Yes,4
7/15/2022 16:45:07,No,Yes,Yes,Yes,5
7/15/2022 16:45:30,Yes,Yes,Yes,Yes,5
7/15/2022 16:45:43,Yes,Yes,Yes,Yes,5
7/15/2022 16:46:11,Yes,Yes,Yes,Yes,5
7/15/2022 16:46:30,Yes,Yes,Yes,Yes,5
7/15/2022 16:47:13,Yes,Yes,Yes,No,5
7/15/2022 16:48:20,Yes,Yes,Yes,Yes,5
7/15/2022 16:49:14,No,No,Yes,No,2
7/15/2022 16:49:44,Yes,Yes,Yes,Yes,5
7/15/2022 16:51:09,Yes,Yes,Yes,Yes,5
7/15/2022 16:51:54,No,No,Yes,Yes,4
7/15/2022 16:53:08,Yes,Yes,Yes,Yes,4
7/15/2022 16:55:06,Yes,Yes,Yes,Yes,5
7/15/2022 16:55:21,Yes,Yes,Yes,Yes,5
7/15/2022 16:56:16,Yes,Yes,Yes,Yes,5
7/15/2022 16:56:32,Yes,Yes,Yes,Yes,5
7/15/2022 16:56:45,Yes,Yes,Yes,Yes,5
7/15/2022 16:57:13,Yes,Yes,Yes,Yes,5
7/15/2022 16:57:31,Yes,Yes,Yes,Yes,5
7/15/2022 16:57:48,Yes,Yes,Yes,Yes,5
7/15/2022 16:58:04,Yes,Yes,Yes,Yes,5
7/15/2022 16:58:23,Yes,Yes,Yes,Yes,5
7/15/2022 16:58:38,Yes,Yes,Yes,Yes,5
7/15/2022 16:59:01,Yes,Yes,Yes,Yes,5
7/15/2022 16:59:19,No,Yes,Yes,Yes,4
7/15/2022 16:59:31,Yes,Yes,Yes,Yes,5
7/15/2022 17:04:01,No,Yes,Yes,Yes,3
7/15/2022 17:04:16,Yes,Yes,Yes,Yes,3
7/15/2022 17:04:53,No,Yes,Yes,Yes,5
7/15/2022 17:05:42,Yes,Yes,Yes,Yes,5
7/15/2022 17:06:00,Yes,Yes,Yes,Yes,5
7/15/2022 17:06:21,Yes,Yes,Yes,Yes,5
7/15/2022 17:06:35,Yes,Yes,Yes,Yes,5
7/15/2022 17:06:57,Yes,Yes,Yes,Yes,5
7/15/2022 17:07:16,Yes,Yes,Yes,Yes,5
7/15/2022 17:07:31,Yes,Yes,Yes,Yes,5
7/15/2022 17:08:31,Yes,Yes,Yes,No,3
7/15/2022 17:08:45,Yes,Yes,Yes,Yes,4
7/15/2022 20:04:10,Yes,Yes,Yes,Yes,5
